"Interfaces"	"Responses"
"type1"	"B"
"type1"	"C"
"type1"	"B"
"type1"	"B"
"type1"	"C"
"type1"	"B"
"type1"	"A"
"type1"	"A"
"type1"	"D"
"type1"	"C"
"type1"	"B"
"type1"	"B"
"type1"	"C"
"type1"	"D"
"type1"	"A"
"type1"	"B"
"type1"	"A"
"type1"	"B"
"type1"	"C"
"type1"	"A"
"type1"	"D"
"type1"	"D"
"type1"	"B"
"type1"	"C"
"type1"	"B"
"type1"	"A"
"type1"	"A"
"type1"	"A"
"type1"	"B"
"type1"	"C"
"type1"	"A"
"type1"	"B"
"type1"	"C"
"type1"	"A"
"type1"	"D"
"type1"	"A"
"type1"	"B"
"type1"	"B"
"type1"	"C"
"type1"	"A"
"type1"	"B"
"type1"	"D"
"type1"	"D"
"type1"	"C"
"type1"	"C"
"type1"	"B"
"type1"	"B"
"type1"	"D"
"type1"	"C"
"type1"	"B"
"type1"	"B"
"type1"	"D"
"type1"	"C"
"type1"	"C"
"type1"	"B"
"type1"	"D"
"type1"	"A"
"type1"	"A"
"type1"	"B"
"type1"	"C"
"type1"	"C"
"type1"	"B"
"type1"	"B"
"type1"	"C"
"type1"	"B"
"type1"	"A"
"type1"	"C"
"type1"	"D"
"type1"	"D"
"type1"	"B"
"type1"	"B"
"type1"	"B"
"type1"	"B"
"type1"	"C"
"type1"	"B"
"type1"	"B"
"type1"	"C"
"type1"	"B"
"type1"	"C"
"type1"	"A"
"type1"	"A"
"type1"	"C"
"type1"	"B"
"type1"	"B"
"type1"	"B"
"type1"	"D"
"type1"	"A"
"type1"	"D"
"type1"	"A"
"type1"	"B"
"type1"	"B"
"type1"	"C"
"type1"	"A"
"type1"	"B"
"type1"	"B"
"type1"	"C"
"type1"	"D"
"type1"	"A"
"type1"	"C"
"type1"	"C"
"type2"	"C"
"type2"	"D"
"type2"	"C"
"type2"	"C"
"type2"	"D"
"type2"	"C"
"type2"	"D"
"type2"	"D"
"type2"	"C"
"type2"	"C"
"type2"	"C"
"type2"	"D"
"type2"	"F"
"type2"	"D"
"type2"	"D"
"type2"	"F"
"type2"	"B"
"type2"	"B"
"type2"	"C"
"type2"	"C"
"type2"	"A"
"type2"	"F"
"type2"	"C"
"type2"	"C"
"type2"	"D"
"type2"	"A"
"type2"	"B"
"type2"	"D"
"type2"	"D"
"type2"	"D"
"type2"	"A"
"type2"	"D"
"type2"	"D"
"type2"	"C"
"type2"	"C"
"type2"	"D"
"type2"	"B"
"type2"	"D"
"type2"	"D"
"type2"	"C"
"type2"	"C"
"type2"	"C"
"type2"	"D"
"type2"	"B"
"type2"	"A"
"type2"	"B"
"type2"	"A"
"type2"	"A"
"type2"	"F"
"type2"	"B"
"type2"	"B"
"type2"	"B"
"type2"	"D"
"type2"	"D"
"type2"	"F"
"type2"	"B"
"type2"	"F"
"type2"	"C"
"type2"	"A"
"type2"	"D"
"type2"	"F"
"type2"	"D"
"type2"	"B"
"type2"	"A"
"type2"	"C"
"type2"	"A"
"type2"	"A"
"type2"	"D"
"type2"	"C"
"type2"	"B"
"type2"	"B"
"type2"	"F"
"type2"	"A"
"type2"	"B"
"type2"	"D"
"type2"	"C"
"type2"	"B"
"type2"	"C"
"type2"	"C"
"type2"	"F"
"type2"	"C"
"type2"	"B"
"type2"	"A"
"type2"	"D"
"type2"	"F"
"type2"	"C"
"type2"	"D"
"type2"	"F"
"type2"	"F"
"type2"	"C"
"type2"	"B"
"type2"	"B"
"type2"	"D"
"type2"	"A"
"type2"	"D"
"type2"	"B"
"type2"	"B"
"type2"	"C"
"type2"	"B"
"type2"	"B"
"type3"	"D"
"type3"	"A"
"type3"	"F"
"type3"	"C"
"type3"	"D"
"type3"	"D"
"type3"	"B"
"type3"	"F"
"type3"	"C"
"type3"	"B"
"type3"	"C"
"type3"	"D"
"type3"	"F"
"type3"	"B"
"type3"	"D"
"type3"	"C"
"type3"	"D"
"type3"	"F"
"type3"	"D"
"type3"	"B"
"type3"	"D"
"type3"	"C"
"type3"	"C"
"type3"	"C"
"type3"	"D"
"type3"	"D"
"type3"	"D"
"type3"	"F"
"type3"	"F"
"type3"	"D"
"type3"	"D"
"type3"	"D"
"type3"	"F"
"type3"	"F"
"type3"	"A"
"type3"	"C"
"type3"	"C"
"type3"	"D"
"type3"	"F"
"type3"	"D"
"type3"	"D"
"type3"	"C"
"type3"	"D"
"type3"	"D"
"type3"	"D"
"type3"	"F"
"type3"	"F"
"type3"	"C"
"type3"	"B"
"type3"	"C"
"type3"	"C"
"type3"	"D"
"type3"	"C"
"type3"	"A"
"type3"	"B"
"type3"	"D"
"type3"	"C"
"type3"	"F"
"type3"	"F"
"type3"	"D"
"type3"	"F"
"type3"	"F"
"type3"	"B"
"type3"	"B"
"type3"	"C"
"type3"	"F"
"type3"	"C"
"type3"	"D"
"type3"	"D"
"type3"	"C"
"type3"	"C"
"type3"	"B"
"type3"	"D"
"type3"	"D"
"type3"	"C"
"type3"	"B"
"type3"	"D"
"type3"	"D"
"type3"	"F"
"type3"	"D"
"type3"	"D"
"type3"	"B"
"type3"	"F"
"type3"	"D"
"type3"	"F"
"type3"	"B"
"type3"	"D"
"type3"	"B"
"type3"	"D"
"type3"	"D"
"type3"	"F"
"type3"	"F"
"type3"	"A"
"type3"	"F"
"type3"	"C"
"type3"	"D"
"type3"	"B"
"type3"	"B"
"type3"	"D"
"type3"	"C"
